Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images,External URL,Button text,Meta: _affiliate_network,Meta: _merchant_brand
"external","cj-3af477b663f40518d85f","Shift 87","1","1","visible","Shift 87 is a first person observation horror game. Keen investigators can find a total of 66 anomalies throughout 3 levels of handcrafted, highly atmospheri...","Shift 87 is a first person observation horror game. Keen investigators can find a total of 66 anomalies throughout 3 levels of handcrafted, highly atmospheri...","none","1","","4.99","1.69","Accessories","cj,accessories,daedalicentertainment","https://www.yuplay.com/media/products/shift-87/616/8b695ff38d8974f55abdf915af4448a34af99eb8.jpg","https://www.yuplay.com/product/shift-87/?partner=cj","Ver Oferta","CJ","Daedalic Entertainment"
"external","cj-1d8786f67de86ef8b59a","The Colony: New Haven Chronicles","1","1","visible","New Haven is a utopia under a red moon, turned into a dystopian nightmare. You are a prisoner with no name, waking up in the middle of an emergency.","New Haven is a utopia under a red moon, turned into a dystopian nightmare. You are a prisoner with no name, waking up in the middle of an emergency.","none","1","","9.49","3.22","Accessories","cj,accessories,indieio","https://www.yuplay.com/media/products/the-colony-new-haven-chronicles/616/6dcf6f92b3a7009516fd1c018b0f5bd15eecb34c.jpg","https://www.yuplay.com/product/the-colony-new-haven-chronicles/?partner=cj","Ver Oferta","CJ","indie.io"
"external","cj-3f7de5b8233d25c74162","YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM!","1","1","visible","""Those Games"" is a collection of minigames that you wantedto play to your heart's content, but couldn't, so we developedthis game with cute and comical stick...","""Those Games"" is a collection of minigames that you wantedto play to your heart's content, but couldn't, so we developedthis game with cute and comical stick...","none","1","","9.99","3.39","Accessories","cj,accessories,d3publisher","https://www.yuplay.com/media/products/yeah-you-want-those-games-right-so-here-you-go-now-lets-see-you-clear-them/616/ea6c15714dcb7af24f5a71b0aaea60d4a5d2b518.jpg","https://www.yuplay.com/product/yeah-you-want-those-games-right-so-here-you-go-now-lets-see-you-clear-them/?partner=cj","Ver Oferta","CJ","D3PUBLISHER"
"external","cj-3f2c1fbed14dce66509c","Izmir: An Independence Simulator","1","1","visible","3 different enemy classes: Infantry, Armored and Robotic. Beat the toughest levels with the right combinations and bonus damage.","3 different enemy classes: Infantry, Armored and Robotic. Beat the toughest levels with the right combinations and bonus damage.","none","1","","1.59","0.54","Accessories","cj,accessories,trainspottingstudio","https://www.yuplay.com/media/products/izmir-an-independence-simulator/616/1abb20b58a766cea084e1aa901567efbf710bc77.jpg","https://www.yuplay.com/product/izmir-an-independence-simulator/?partner=cj","Ver Oferta","CJ","Trainspotting Studio"
"external","cj-2418","Ashampoo® Photo Commander 18","1","1","visible","Ashampoo® Photo Commander 18 - Chockfull of features: More than 200 functions for your photos in a single software","Ashampoo® Photo Commander 18 - Chockfull of features: More than 200 functions for your photos in a single software","none","1","","50.00","17.00","Beauty","cj,beauty,ashampoo","https://img.ashampoo.com/images/products/2418/front.png","https://www.ashampoo.com/cookie/HqULT1OaTqFiPD4b?redirect=https%3A%2F%2Fwww.ashampoo.com%2Floc%2Fphoto-commander-18%3Fx-source%3Dcj%26x-mid%3Dcj%26utm_source%3Dcj%26utm_medium%3Dcj%26utm_campaign%3Dcj%26coupon%3DGVX-EG9-8C1%26no-license-choice%3Dtrue","Ver Oferta","CJ","Ashampoo"
"external","cj-0b8a01592d3947ffc2fa","The Legend of Heroes: Trails of Cold Steel IV - Standard Cosmetic Set","1","1","visible","This Cosmetic Set contains the following:  The Legend of Heroes: Trails of Cold Steel IV - Swimsuit Bundle  The Legend of Heroes: Trails of Cold Steel IV - M...","This Cosmetic Set contains the following:  The Legend of Heroes: Trails of Cold Steel IV - Swimsuit Bundle  The Legend of Heroes: Trails of Cold Steel IV - M...","none","1","","31.21","10.62","Fashion","cj,fashion,nisamerica","https://www.yuplay.com/media/products/the-legend-of-heroes-trails-of-cold-steel-iv-standard-cosmetic-set/616/e58fdc778f613f76c0c3564e37a205e3c595cebd.jpg","https://www.yuplay.com/product/the-legend-of-heroes-trails-of-cold-steel-iv-standard-cosmetic-set/?partner=cj","Ver Oferta","CJ","NIS America"
"external","cj-165f5bcc1178f5c57a68","REVEIL Funhouse Pack","1","1","visible","The Funhouse Pack contains the following DLC for REVEIL:REVEIL Original Soundtrack: 14 original compositions, beautiful and haunting.Digital&#160;Artbook: A ...","The Funhouse Pack contains the following DLC for REVEIL:REVEIL Original Soundtrack: 14 original compositions, beautiful and haunting.Digital&#160;Artbook: A ...","none","1","","9.99","3.40","Books","cj,books,daedalicentertainment","https://www.yuplay.com/media/products/reveil-supporter-pack/616/90e762392ba7f34c3e69b28ea7dd1d7a0010f68d.jpg","https://www.yuplay.com/product/reveil-supporter-pack/?partner=cj","Ver Oferta","CJ","Daedalic Entertainment"
"external","cj-3961d679d2ba3f200d84","Curse of the Assassin","1","1","visible","Youve risen through society after dealing with Eltane and saving the city, capturing the affections of the Duke's daughter along the way. The mysterious deat...","Youve risen through society after dealing with Eltane and saving the city, capturing the affections of the Duke's daughter along the way. The mysterious deat...","none","1","","4.99","1.70","Accessories","cj,accessories,tinmangames","https://www.yuplay.com/media/products/curse-of-the-assassin/616/8396d63933ec52ce50d9798d49fe54113dea9b0f.jpg","https://www.yuplay.com/product/curse-of-the-assassin/?partner=cj","Ver Oferta","CJ","Tin Man Games"
"external","cj-215e5be36d819a06e76c","Premier Manager 08","1","1","visible","layability has always been at the core of Premier Manager and will be enhanced by a refreshed user interface, which enables extremely simple navigation and w...","layability has always been at the core of Premier Manager and will be enhanced by a refreshed user interface, which enables extremely simple navigation and w...","none","1","","2.99","1.02","Accessories","cj,accessories,funboxmedia","https://www.yuplay.com/media/products/premier-manager-08/616/cc75a091fde438b61e43c89931ab9a71840ec80a.jpg","https://www.yuplay.com/product/premier-manager-08/?partner=cj","Ver Oferta","CJ","Funbox Media"
"external","cj-2151f17637b5fe94badf","White Noise 2 - Supporter Pack","1","1","visible","The White Noise 2 Supporter pack was created as a ""Thank you"" gift to our Early Access supporters. It features 2 new items","The White Noise 2 Supporter pack was created as a ""Thank you"" gift to our Early Access supporters. It features 2 new items","none","1","","1.99","0.68","Accessories","cj,accessories,milkstonestudios","https://www.yuplay.com/media/products/white-noise-2-supporter-pack/616/47ee0c7f512e9de70e43b380ffd8c7c312a47396.jpg","https://www.yuplay.com/product/white-noise-2-supporter-pack/?partner=cj","Ver Oferta","CJ","Milkstone Studios"
